ID,ペア,is_sudden_severe,is_numbness,is_behavior,label_sudden_severe,label_numbness,label_behavior
sudden_severe_-1_0020,"Dispatcher: いつも通りの様子ですか？
Caller: いいえ、友人は返事がちぐはぐで、落ち着きなく部屋を歩き回っていて普段と違います。",True,False,False,-1,False,False
sudden_severe_0_0021,"Dispatcher: 頭の痛みは、突然起こった激しい痛みですか？
Caller: はい、兄が急に今までで一番ひどい頭痛だと言って倒れ込むように座りました。",True,False,False,0,False,False
sudden_severe_0_0022,"Dispatcher: いつもの頭痛とは違って、急に強く出た感じですか？
Caller: はい、同居人が急に耐えられないくらい痛いと言い出して、普通の頭痛ではなさそうです。",True,False,False,0,False,False
sudden_severe_0_0023,"Dispatcher: 頭痛は突然始まった強い痛みですか？
Caller: はい、父は作業中にいきなり激しい頭痛が来たと言って、その場で動けなくなりました。",True,False,False,0,False,False
sudden_severe_0_0024,"Dispatcher: 急にひどい頭痛が出たのですか？
Caller: はい、妻が突然すごく痛いと言って、頭を抱えています。",True,False,False,0,False,False
sudden_severe_0_0025,"Dispatcher: さっきまで普通だったのに、急に強い頭痛になりましたか？
Caller: はい、友達が車を降りた直後に急に頭が割れそうだと言って、しゃがみ込んでしまいました。",True,False,False,0,False,False
sudden_severe_1_0026,"Dispatcher: 頭の痛みは、突然起こった激しい痛みですか？
Caller: いいえ、昨日から続いている鈍い痛みで、急に始まったものではありません。",True,False,False,1,False,False
sudden_severe_1_0027,"Dispatcher: いつもの軽い頭痛ということでよいですか？
Caller: だいたいそんな感じで、伯母は前からある頭痛が少し長引いていると言っています。",True,False,False,1,False,False
sudden_severe_1_0028,"Dispatcher: 頭の痛みは、突然起こった激しい痛みですか？
Caller: いいえ、息子は部活のあとからじわじわ痛くなったと言っていて、急な激痛ではないです。",True,False,False,1,False,False
sudden_severe_1_0029,"Dispatcher: 激しい頭痛が急に始まりましたか？
Caller: いいえ、母は朝から重い感じが続いているだけで、突然ガツンと来た痛みではありません。",True,False,False,1,False,False
sudden_severe_1_0030,"Dispatcher: 頭の痛みは突然の強いものですか？
Caller: いいえ、同僚は昼過ぎから少しずつ痛くなったと言っていて、急激なひどい頭痛ではありません。",True,False,False,1,False,False
sudden_severe_2_0031,"Dispatcher: いつもの頭痛みたいな感じですか？
Caller: それが、急に強くなったのかいつもの感じなのかまでは分かりません。",True,False,False,2,False,False
sudden_severe_2_0032,"Dispatcher: 今回の頭痛は、急にひどくなった感じでしょうか？
Caller: 職場の別フロアにいる同僚から連絡を受けただけで、突然だったのか、どの程度強いのかは確認できていません。",True,False,False,2,False,False
sudden_severe_2_0033,"Dispatcher: さっき急に強い頭痛が出た感じですか？
Caller: 友人から頭が痛いとメッセージが来ただけで、出方までは聞けていません。",True,False,False,2,False,False
sudden_severe_2_0034,"Dispatcher: 我慢できないくらい急な痛みですか？
Caller: そこはまだ分からなくて、痛いと言っていることしか確認できていません。",True,False,False,2,False,False
sudden_severe_2_0035,"Dispatcher: 激しい痛みが突然起こりましたか？
Caller: 激しいのか、急に始まったのかは分かりません。",True,False,False,2,False,False
sudden_severe_-1_0036,"Dispatcher: 手足のしびれや麻痺はありますか？
Caller: はい、左腕がしびれていて、左足にも力が入りにくいです。",True,False,False,-1,False,False
sudden_severe_-1_0037,"Dispatcher: 何か変わった様子はありますか？
Caller: いいえ、夫ですが受け答えも普段どおりで、行動も特におかしくありません。",True,False,False,-1,False,False
sudden_severe_-1_0038,"Dispatcher: 普段と違う振る舞いや様子はありますか？
Caller: はい、返事がちぐはぐで、さっきから同じことを何度も言っています。",True,False,False,-1,False,False
sudden_severe_-1_0039,"Dispatcher: 片側の手足にしびれや動かしにくさはありますか？
Caller: 今は本人がトイレにこもっていて姿が見えず、しびれや麻痺があるかは確認できません。",True,False,False,-1,False,False
sudden_severe_-1_0040,"Dispatcher: 普通に手足は動かせていますか？
Caller: 電話で呼ばれただけなので、しびれや動かしにくさがあるかはまだ分かりません。",True,False,False,-1,False,False
sudden_severe_0_0041,"Dispatcher: 急にひどい頭痛が出た感じですか？
Caller: はい、さっき突然、我慢できないくらい痛いと言い出しました。",True,False,False,0,False,False
sudden_severe_0_0042,"Dispatcher: いつもの頭痛ではなく、急に強く出た感じですか？
Caller: はい、会議中まで普通だったのに、急に頭を押さえて耐えられないほど痛いと言っています。",True,False,False,0,False,False
sudden_severe_0_0043,"Dispatcher: 突然の激しい頭痛ですか？
Caller: はい、そのようです。",True,False,False,0,False,False
sudden_severe_0_0044,"Dispatcher: さっき急に強い痛みがきた感じですか？
Caller: はい、いきなりものすごく痛いと言っています。",True,False,False,0,False,False
sudden_severe_0_0045,"Dispatcher: 頭の痛みは、突然起こった激しい痛みですか？
Caller: はい、母はさっきまで普通に話していたのに、急に今までで一番ひどい頭痛だと言ってうずくまっています。",True,False,False,0,False,False
sudden_severe_1_0046,"Dispatcher: 急にひどくなった頭痛ですか？
Caller: いいえ、朝から少しずつ痛みが強くなってきたようで、急にではありません。",True,False,False,1,False,False
sudden_severe_1_0047,"Dispatcher: 頭の痛みは、突然起こった激しい痛みですか？
Caller: いいえ、姉は昨夜から重い感じが続いていると言っていて、急にガツンと来た痛みではありません。",True,False,False,1,False,False
sudden_severe_1_0048,"Dispatcher: さっきまで普通だったのに急に耐えられない頭痛になった感じですか？
Caller: いいえ、同僚は昼ごろからじわじわ痛くなってきたと言っていて、突然の激痛ではないです。",True,False,False,1,False,False
sudden_severe_1_0049,"Dispatcher: 急な強い頭痛ということでしょうか？
Caller: そういう感じではなくて、前から痛がっていた頭痛が続いています。",True,False,False,1,False,False
sudden_severe_1_0050,"Dispatcher: 頭の痛みは突然の激しいものですか？
Caller: いいえ、徐々に痛くなったようです。",True,False,False,1,False,False
sudden_severe_2_0051,"Dispatcher: 頭の痛みは、突然起こった激しい痛みですか？
Caller: すみません、本人から頭が痛いとだけ連絡が来ていて、急に始まったのか、どれほど強いのかは分かりません。",True,False,False,2,False,False
sudden_severe_2_0052,"Dispatcher: 急にひどい頭痛が出たんですか？
Caller: そこまでは確認できていません。",True,False,False,2,False,False
sudden_severe_2_0053,"Dispatcher: さっきまで普通だったのに、急に我慢できないほど頭が痛くなった感じですか？
Caller: 兄からビデオ通話で少し見ただけなので、急に起きたのか、痛みがどれほど強いのかまでは判断できません。",True,False,False,2,False,False
sudden_severe_2_0054,"Dispatcher: 激しい痛みが突然起こりましたか？
Caller: 激しいのか突然なのかは分かりません。",True,False,False,2,False,False
sudden_severe_2_0055,"Dispatcher: いつもの軽い頭痛ということでよいですか？
Caller: 友だちから頭痛でつらいとだけ聞いていて、急に強くなったのかどうかまでは分かっていません。",True,False,False,2,False,False
sudden_severe_-1_0056,"Dispatcher: 普段と違う振る舞いや様子はありますか？
Caller: はい、呼びかけても返事が遅くて、ぼんやりしていていつもと明らかに違います。",True,False,False,-1,False,False
sudden_severe_-1_0057,"Dispatcher: 受け答えが変だったり、いつもと違う行動はありますか？
Caller: はい、同僚なんですが、簡単な質問にも答えが合わず、机の前で同じ動作を繰り返しています。",True,False,False,-1,False,False
sudden_severe_-1_0058,"Dispatcher: 何か変わった様子はありますか？
Caller: はい、受け答えがおかしくて落ち着きがありません。",True,False,False,-1,False,False
sudden_severe_-1_0059,"Dispatcher: 手足のしびれや麻痺はありますか？
Caller: 妹から頭痛の連絡だけ受けて向かっている途中なので、しびれがあるかどうかはまだ確認できていません。",True,False,False,-1,False,False
sudden_severe_-1_0060,"Dispatcher: 片側の手足にしびれや力の入りにくさはありますか？
Caller: いいえ、夫のそばにいますが、両手両足とも普通に動かせていて、しびれもないと言っています。",True,False,False,-1,False,False
sudden_severe_0_0061,"Dispatcher: いきなり耐えられないくらいの頭の痛みになった感じですか？
Caller: はい、同僚が急に頭を押さえて、我慢できないほど痛いと言っています。",True,False,False,0,False,False
sudden_severe_0_0062,"Dispatcher: いつもの頭痛ではなく、急に強い痛みが出たのですか？
Caller: はい、さっきまで普通に話していたのに、突然ひどい頭痛が来たと言ってうずくまりました。",True,False,False,0,False,False
sudden_severe_0_0063,"Dispatcher: 頭の痛みは、突然起こった激しい痛みですか？
Caller: はい、急に我慢できないほどの頭痛が出ました。",True,False,False,0,False,False
sudden_severe_0_0064,"Dispatcher: 急にひどい頭痛になったのですか？
Caller: はい、急にものすごく痛くなったようです。",True,False,False,0,False,False
sudden_severe_0_0065,"Dispatcher: さっきまで平気だったのに、急に激しい頭痛が来た感じですか？
Caller: はい、友人が急に頭が割れそうに痛いと言い出しました。",True,False,False,0,False,False
sudden_severe_1_0066,"Dispatcher: 頭の痛みは、突然起こった激しい痛みですか？
Caller: いいえ、朝から少しずつ痛くなってきたみたいで、急にではありません。",True,False,False,1,False,False
sudden_severe_1_0067,"Dispatcher: 頭の痛みは、突然起こった激しい痛みですか？
Caller: いいえ、急にではなく、昼ごろからだんだん痛みが強くなっています。",True,False,False,1,False,False
sudden_severe_1_0068,"Dispatcher: 頭の痛みは、突然起こった激しい痛みですか？
Caller: いいえ、いきなりではなく、前から続いている頭痛です。",True,False,False,1,False,False
sudden_severe_1_0069,"Dispatcher: 急に我慢できないほどの頭痛が出たのですか？
Caller: いいえ、妻は昨日から重い感じが続いていると言っていて、突然ひどくなったわけではありません。",True,False,False,1,False,False
sudden_severe_1_0070,"Dispatcher: さっき急に強い頭痛が始まった感じですか？
Caller: いいえ、父は数時間前からじわじわ痛くなってきたと言っています。",True,False,False,1,False,False
sudden_severe_2_0071,"Dispatcher: 頭の痛みは、突然起こった激しい痛みですか？
Caller: 兄から頭が痛いとだけ連絡があって、急に始まったのかまでは分かりません。",True,False,False,2,False,False
sudden_severe_2_0072,"Dispatcher: 頭の痛みは、急に出た強い痛みか確認できますか？
Caller: 今は本人が別室にいて話せないので、突然なのか、どれくらい強いのかは確認できません。",True,False,False,2,False,False
sudden_severe_2_0073,"Dispatcher: 激しい痛みが突然起こりましたか？
Caller: それは分かりません。",True,False,False,2,False,False
sudden_severe_2_0074,"Dispatcher: さっきまで普通だったのに、急に耐えられないほど頭が痛くなった感じですか？
Caller: 職場から連絡を受けただけで、始まり方や痛みの強さまではまだ聞けていません。",True,False,False,2,False,False
sudden_severe_2_0075,"Dispatcher: いつもの軽い頭痛ということでよいですか？
Caller: そこは分からなくて、急に強くなったのかどうか確認できていません。",True,False,False,2,False,False
sudden_severe_-1_0076,"Dispatcher: 手足のしびれや動かしにくさはありますか？
Caller: はい、左手にしびれがあって力も入りにくいようです。",True,False,False,-1,False,False
sudden_severe_-1_0077,"Dispatcher: 右手だけ力が入らない、足がしびれる、そういった様子は確認できますか？
Caller: 今は電話で聞いているだけなので、手足のしびれや麻痺があるかは確認できません。",True,False,False,-1,False,False
sudden_severe_-1_0078,"Dispatcher: しびれや麻痺はありますか？
Caller: はい、片方の足がしびれて動かしにくいです。",True,False,False,-1,False,False
sudden_severe_-1_0079,"Dispatcher: 何か変わったことはありますか？
Caller: 頭が痛いと連絡があっただけで、普段と違う様子かどうかはまだ分かりません。",True,False,False,-1,False,False
sudden_severe_-1_0080,"Dispatcher: しびれや麻痺はありますか？
Caller: はい、母は右腕がしびれて、うまく動かせないと言っています。",True,False,False,-1,False,False
sudden_severe_0_0081,"Dispatcher: 急にひどい頭痛が始まったのですか？
Caller: はい、会議中に突然、今までで一番痛いと言って頭を抱え込みました。",True,False,False,0,False,False
sudden_severe_0_0082,"Dispatcher: 頭の痛みは、突然起こった激しい痛みですか？
Caller: はい、急に我慢できないくらい強い頭痛になりました。",True,False,False,0,False,False
sudden_severe_0_0083,"Dispatcher: さっき急に耐えがたい頭痛が出た感じですか？
Caller: はい、弟が急に頭が割れるみたいに痛いと言って、その場にしゃがみ込みました。",True,False,False,0,False,False
sudden_severe_0_0084,"Dispatcher: 急に激しい頭痛になったのですか？
Caller: はい、突然すごく痛くなったようです。",True,False,False,0,False,False
sudden_severe_0_0085,"Dispatcher: 頭の痛みは、突然起こった激しい痛みですか？
Caller: はい、さっき急に始まって、本人は我慢できないほど痛いと言っています。",True,False,False,0,False,False
sudden_severe_1_0086,"Dispatcher: いきなりひどい頭痛になった感じですか？
Caller: いいえ、娘は前から痛かったけれど少しずつ強くなったと言っています。",True,False,False,1,False,False
sudden_severe_1_0087,"Dispatcher: 急に激しい頭痛が起きましたか？
Caller: いいえ、徐々に痛くなってきたそうです。",True,False,False,1,False,False
sudden_severe_1_0088,"Dispatcher: 頭の痛みは、突然起こった激しい痛みですか？
Caller: いいえ、急にではなく、前から続いている鈍い痛みです。",True,False,False,1,False,False
sudden_severe_1_0089,"Dispatcher: 頭の痛みは、突然起こった激しい痛みですか？
Caller: いいえ、同僚は朝から少し痛いと言っていて、急に強い痛みが出たわけではありません。",True,False,False,1,False,False
sudden_severe_1_0090,"Dispatcher: 頭の痛みは、突然起こった激しい痛みですか？
Caller: いいえ、いきなりではなく、数時間かけてだんだん痛くなっています。",True,False,False,1,False,False
sudden_severe_2_0091,"Dispatcher: 頭の痛みは、突然起こった激しい痛みですか？
Caller: 会社から連絡を受けただけで、急に始まったのか、どの程度強いのかまでは分かりません。",True,False,False,2,False,False
sudden_severe_2_0092,"Dispatcher: 頭の痛みは、突然起こった激しい痛みですか？
Caller: 突然だったか、激しい痛みかは分かりません。",True,False,False,2,False,False
sudden_severe_2_0093,"Dispatcher: 頭の痛みは、突然起こった激しい痛みですか？
Caller: 友人から頭痛がするとメッセージが来ただけで、急にひどくなったのかまでは確認できていません。",True,False,False,2,False,False
sudden_severe_2_0094,"Dispatcher: 頭の痛みは、急に出た強い痛みか確認できますか？
Caller: 本人は別室で休んでいて話せていないので、突然なのか強い痛みなのかは確認できません。",True,False,False,2,False,False
sudden_severe_2_0095,"Dispatcher: いつもの軽い頭痛ということでよいですか？
Caller: いいえ、そこまでは分からず、急に激しくなったのかどうかは本人に確認できていません。",True,False,False,2,False,False
sudden_severe_-1_0096,"Dispatcher: 手足のしびれや麻痺はありますか？
Caller: はい、左腕がしびれていて、うまく力が入らないと言っています。",True,False,False,-1,False,False
sudden_severe_-1_0097,"Dispatcher: いつもより元気で普通に過ごしていますか？
Caller: いいえ、同じことを何度も聞き返してきて、普段の受け答えと明らかに違います。",True,False,False,-1,False,False
sudden_severe_-1_0098,"Dispatcher: ぼんやりしている、返事がおかしいなど、普段と違う様子は見えますか？
Caller: はい、妻なんですが、呼びかけても反応が鈍くて会話がかみ合いません。",True,False,False,-1,False,False
sudden_severe_-1_0099,"Dispatcher: 普段と違う振る舞いや様子はありますか？
Caller: はい、受け答えがちぐはぐで、いつもの様子ではありません。",True,False,False,-1,False,False
sudden_severe_-1_0100,"Dispatcher: 受け答えが変、落ち着きがないなど、普段と違う様子はありますか？
Caller: いいえ、返事はしっかりしていて、行動も普段と変わりません。",True,False,False,-1,False,False
sudden_severe_0_0101,"Dispatcher: いつもの頭痛ではなく、急にひどくなった感じですか？
Caller: はい、急に我慢できないくらい強い痛みが来たと言っています。",True,False,False,0,False,False
sudden_severe_0_0102,"Dispatcher: いきなり強い頭痛が出た感じですか？
Caller: はい、さっき突然ひどい頭痛になったそうです。",True,False,False,0,False,False
sudden_severe_0_0103,"Dispatcher: 頭の痛みは、突然起こった激しい痛みですか？
Caller: はい、さっきまで普通だったのに、急に耐えられないほど痛いと言い出しました。",True,False,False,0,False,False
sudden_severe_0_0104,"Dispatcher: 頭の痛みは、急に出た強い痛みですか？
Caller: はい、会議中にいきなり頭を押さえて、ものすごく痛いと言っていました。",True,False,False,0,False,False
sudden_severe_0_0105,"Dispatcher: 頭の痛みは、突然起こった激しい痛みですか？
Caller: はい、急に始まって、今までで一番痛いくらいだと言っています。",True,False,False,0,False,False
sudden_severe_1_0106,"Dispatcher: いつもの頭痛ではなく、急にひどくなった感じですか？
Caller: いいえ、朝から少しずつ痛くなってきたようで、急にではないです。",True,False,False,1,False,False
sudden_severe_1_0107,"Dispatcher: いきなり強い頭痛が出た感じですか？
Caller: いいえ、突然ではなく、昼ごろからだんだん痛みが増しただけです。",True,False,False,1,False,False
sudden_severe_1_0108,"Dispatcher: 頭の痛みは、突然起こった激しい痛みですか？
Caller: いいえ、本人は前からある頭痛が少しつらくなったと言っていて、急な激痛ではありません。",True,False,False,1,False,False
sudden_severe_1_0109,"Dispatcher: 頭の痛みは、突然起こった激しい痛みですか？
Caller: いいえ、急にではなく、ずっと重い感じが続いているそうです。",True,False,False,1,False,False
sudden_severe_1_0110,"Dispatcher: 頭の痛みは、急に出た強い痛みですか？
Caller: いいえ、昨日からの頭痛で、急にひどくなったわけではないです。",True,False,False,1,False,False
sudden_severe_2_0111,"Dispatcher: 頭の痛みは、突然起こった激しい痛みですか？
Caller: 突然だったかどうかも、痛みの強さもまだ確認できていません。",True,False,False,2,False,False
sudden_severe_2_0112,"Dispatcher: いつもの軽い頭痛ということでよいですか？
Caller: それも分からなくて、急に強い痛みなのかどうか確認できていません。",True,False,False,2,False,False
sudden_severe_2_0113,"Dispatcher: さっきまで普通だったのに、急に我慢できないほど頭が痛くなった感じですか？
Caller: 隣の部署の者から呼ばれただけなので、始まり方も痛みの強さも私には分かりません。",True,False,False,2,False,False
sudden_severe_2_0114,"Dispatcher: いきなりひどい頭痛になった感じですか？
Caller: 電話越しに頭が痛いと聞いただけで、急だったのかひどいのかまでは分かりません。",True,False,False,2,False,False
sudden_severe_2_0115,"Dispatcher: いつもの頭痛ではなく急な強い痛みですか？
Caller: 母から短く連絡があっただけなので、急に起きたのか、強い痛みなのかはまだ確認できていません。",True,False,False,2,False,False
sudden_severe_-1_0116,"Dispatcher: 何か変わったことはありますか？
Caller: 頭が痛いと連絡があっただけで、普段と違う様子があるかまではまだ分かりません。",True,False,False,-1,False,False
sudden_severe_-1_0117,"Dispatcher: いつもと違う振る舞いはありますか？
Caller: いつもと違う振る舞いがあるかは分かりません。",True,False,False,-1,False,False
sudden_severe_-1_0118,"Dispatcher: 手足のしびれや麻痺はありますか？
Caller: いいえ、手も足も普通に動いていて、しびれはないようです。",True,False,False,-1,False,False
sudden_severe_-1_0119,"Dispatcher: いつもより元気で普通に過ごしていますか？
Caller: いいえ、返事はできるんですが、急に落ち着きがなくなって同じ場所をうろうろしています。",True,False,False,-1,False,False
sudden_severe_-1_0120,"Dispatcher: 片側の手足にしびれや動かしにくさはありますか？
Caller: はい、父は右手がしびれていて、右足も力が入りにくいようです。",True,False,False,-1,False,False
sudden_severe_0_0121,"Dispatcher: いつもの頭痛ではなく、急にものすごく強い痛みが出た感じですか？
Caller: はい、夫がさっき急に頭を押さえて、今までにないくらい痛いと訴えています。",True,False,False,0,False,False
sudden_severe_0_0122,"Dispatcher: 急に激しい頭痛になったということでよいですか？
Caller: はい、同僚が突然うずくまって、我慢できないほど頭が痛いと言っています。",True,False,False,0,False,False
sudden_severe_0_0123,"Dispatcher: いきなり耐えられないような頭の痛みが来た感じですか？
Caller: はい、母が食事中に急に顔色を変えて、頭が割れそうに痛いと言い出しました。",True,False,False,0,False,False
sudden_severe_0_0124,"Dispatcher: 頭の痛みは、突然起こった激しい痛みですか？
Caller: はい、友人がさっきまで普通に話していたのに、急に後頭部がひどく痛むと言って動けなくなりました。",True,False,False,0,False,False
sudden_severe_0_0125,"Dispatcher: 普通の頭痛ではなく、急に強く出た痛みですか？
Caller: はい、職場の先輩が急に頭を抱えて、こんな強い痛みは初めてだと言っています。",True,False,False,0,False,False
sudden_severe_1_0126,"Dispatcher: さっきまで普通だったのに、急にひどい頭痛が出た感じですか？
Caller: いいえ、妹は朝から少しずつ痛くなってきたと言っていて、急に強くなったわけではありません。",True,False,False,1,False,False
sudden_severe_1_0127,"Dispatcher: 頭の痛みは、突然起こった激しい痛みですか？
Caller: いいえ、父は前から重い感じが続いていて、急に襲うような痛みではないです。",True,False,False,1,False,False
sudden_severe_1_0128,"Dispatcher: 急に激しい頭痛が起こりましたか？
Caller: いいえ、徐々に痛くなったようです。",True,False,False,1,False,False
sudden_severe_1_0129,"Dispatcher: いきなり我慢できないほど痛くなったんですか？
Caller: いいえ、同僚は昼ごろからじわじわ痛いと言っていました。",True,False,False,1,False,False
sudden_severe_1_0130,"Dispatcher: 急にものすごい頭痛が出た感じですか？
Caller: いいえ、妻は前から続く頭痛で、突然ではありません。",True,False,False,1,False,False
sudden_severe_2_0131,"Dispatcher: 頭の痛みは、突然起こった激しい痛みですか？
Caller: すみません、本人から頭痛がすると連絡を受けただけで、急に始まったのかや強さまでは分かりません。",True,False,False,2,False,False
sudden_severe_2_0132,"Dispatcher: 頭の痛みは、突然起こった激しい痛みですか？
Caller: 今そばにいなくて、突然だったのか、どのくらい強いのかは確認できていません。",True,False,False,2,False,False
sudden_severe_2_0133,"Dispatcher: さっきまで普通だったのに、急に耐えられないほど頭が痛くなった感じですか？
Caller: 弟から短いメッセージで頭痛とだけ来ていて、始まり方や痛みの強さはまだ分からないです。",True,False,False,2,False,False
sudden_severe_2_0134,"Dispatcher: いつもの軽い頭痛ということでよいですか？
Caller: そこは分かりません。急に強くなったのかどうか確認できていません。",True,False,False,2,False,False
sudden_severe_2_0135,"Dispatcher: 頭の痛みは、急に出た強い痛みか確認できますか？
Caller: 近くにいるのは祖母だけで、私は電話で聞いているだけなので、突然なのか激しいのかまでは判断できません。",True,False,False,2,False,False
sudden_severe_-1_0136,"Dispatcher: 手足のしびれや片側の動かしにくさはありますか？
Caller: はい、兄は右腕にしびれがあって、右足にも力が入りにくいと言っています。",True,False,False,-1,False,False
sudden_severe_-1_0137,"Dispatcher: 何かいつもと違う振る舞いはありますか？
Caller: いいえ、受け答えも普段どおりで、様子は変わりありません。",True,False,False,-1,False,False
sudden_severe_-1_0138,"Dispatcher: ぼんやりしている、返事がおかしいなど、普段と違う様子は見えますか？
Caller: 今は電話で頭が痛いと聞いただけで、いつもと違う振る舞いがあるかは確認できません。",True,False,False,-1,False,False
sudden_severe_-1_0139,"Dispatcher: 手足のしびれや麻痺はありますか？
Caller: いいえ、母は手足は普通に動いていて、しびれもないと言っています。",True,False,False,-1,False,False
sudden_severe_-1_0140,"Dispatcher: しびれや麻痺はありますか？
Caller: いいえ、今のところ手足のしびれや動かしにくさはありません。",True,False,False,-1,False,False
sudden_severe_0_0141,"Dispatcher: 頭の痛みは、突然起こった激しい痛みですか？
Caller: はい、息子が急に頭を抱えて、今までで一番痛いと言っています。",True,False,False,0,False,False
sudden_severe_0_0142,"Dispatcher: 急に激しい頭痛になったということでよいですか？
Caller: はい、友人が突然叫ぶように痛がって、耐えられないほどだと言っています。",True,False,False,0,False,False
sudden_severe_0_0143,"Dispatcher: いきなりひどい頭痛が来た感じですか？
Caller: はい、同僚が会議中に急に黙り込んで、ものすごく痛いと訴えました。",True,False,False,0,False,False
sudden_severe_0_0144,"Dispatcher: 普通の頭痛ではなく、急に強く出た痛みですか？
Caller: はい、娘が入浴中に急に頭が割れるみたいに痛いと言って出てきました。",True,False,False,0,False,False
sudden_severe_0_0145,"Dispatcher: いつもの頭痛ではなく、急にものすごく強い痛みが出た感じですか？
Caller: はい、夫が庭にいた時に突然しゃがみこんで、我慢できない頭痛だと言っています。",True,False,False,0,False,False
sudden_severe_1_0146,"Dispatcher: 急にものすごい頭痛が出た感じですか？
Caller: いいえ、朝から続いている痛みで、急に強くなったわけではありません。",True,False,False,1,False,False
sudden_severe_1_0147,"Dispatcher: 頭の痛みは、突然起こった激しい痛みですか？
Caller: いいえ、妻は昨日から少しずつ痛みが増しているだけで、突然の激痛ではありません。",True,False,False,1,False,False
sudden_severe_1_0148,"Dispatcher: いきなり我慢できないほど頭が痛くなったんですか？
Caller: いいえ、父は前から鈍い痛みが続いていると言っています。",True,False,False,1,False,False
sudden_severe_1_0149,"Dispatcher: 急に激しい頭痛が起こりましたか？
Caller: いいえ、母はいつもの頭痛が少しつらい程度だと言っています。",True,False,False,1,False,False
sudden_severe_1_0150,"Dispatcher: 急にひどい頭痛になった感じですか？
Caller: いいえ、弟はだんだん痛くなってきたと言っています。",True,False,False,1,False,False
sudden_severe_2_0151,"Dispatcher: いつもの軽い頭痛ということでよいですか？
Caller: そこまでは分かりません。急に強くなったのか、ひどい痛みなのか確認できていません。",True,False,False,2,False,False
